,제목,채널명,VPH,좋아요율(%),댓글율(%),분당조회수,총조회수,게시일
44,달려있는... 뭐라고??,카피추,16217,1.15,0.04,17708258,3128459,2025-10-07T05:00:48.000Z
45,세상에서 가장 빠른 개는? 속도 대결의 최종 승자 공개!,꿀메이커,15983,1.01,0.05,2108044,1531845,2025-10-11T06:05:00.000Z
46,무료일 때 빨리 연장해두세요! (지금 아니면 늦습니다),1분미만,15916,4.03,0.12,1208333,1864860,2025-10-10T08:45:37.000Z
47,세상에서 가장 빠른 개는? 속도 대결의 최종 승자 공개!,꿀메이커,15699,1.02,0.05,2070611,1504644,2025-10-11T06:05:00.000Z
48,대한민국 무동력 트레드밀 1인자 #shorts,힙으뜸,15321,0.59,0.01,1308253,667209,2025-10-13T10:22:43.000Z
49,대박.. 컴퓨터에 숨겨진 기능 3가지,짤컷,15292,4.3,0.01,3264865,2154811,2025-10-09T09:00:45.000Z
50,대박.. 컴퓨터에 숨겨진 기능 3가지,짤컷,15176,4.29,0.01,3240067,2138444,2025-10-09T09:00:45.000Z
51,세계에서 가장 이상한 자동차 핸들 모음,깎고 다듬고,15013,0.63,0.01,2338591,1777329,2025-10-10T07:32:32.000Z
52,러시아판 서바이벌게임 우승자 클래스!,더빙신,14752,1.79,0.13,6447625,1783843,2025-10-10T05:00:05.000Z
53,러시아판 서바이벌게임 우승자 클래스!,더빙신,14580,1.79,0.13,6372810,1763144,2025-10-10T05:00:05.000Z
54,떡 디저트 대회 우승! 신박한 떡 롤케이크 ㄷ ㄷ,FoodieA 식도락가A ,14573,1.76,0.04,934043,958951,2025-10-12T12:07:20.000Z
55,대한민국 무동력 트레드밀 1인자 #shorts,힙으뜸,14539,0.59,0.01,1241437,633133,2025-10-13T10:22:43.000Z
56,아빠에게 낡은 중고차 선물을 받은 딸의 반응,짧은해설,14503,2.53,0.16,3492892,2130664,2025-10-09T03:00:51.000Z
57,아빠에게 낡은 중고차 선물을 받은 딸의 반응,짧은해설,14377,2.52,0.16,3462584,2112176,2025-10-09T03:00:51.000Z
58,박상면과 싸울뻔한 유재석 #유재석,케슛슛,14371,0.8,0.03,5099571,1665860,2025-10-10T10:00:17.000Z
59,위엄과 위험은 한끗차이,이거아새우,14272,3.55,0.01,4788457,1404614,2025-10-11T03:30:39.000Z
60,이게 도대체 누굴 위한 조명이야ㅋㅋ,후다닥,14184,2.68,0.01,5815080,2481101,2025-10-07T23:00:24.000Z
61,일본에서 유부 우동을 주문하면 생기는 일,공간 탐닉 Space Tamnik,13906,2.03,0.05,6185881,1917623,2025-10-09T12:01:44.000Z
62,맥도날드에 고양이 손님,말랑이야기,13860,2.77,0.08,5777253,1020648,2025-10-12T04:17:08.000Z
63,남매끼리 역대급 랜덤요리 게임 5탄ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],13692,3.46,0.02,1319495,1200740,2025-10-11T14:13:51.000Z
64,일본에서 유부 우동을 주문하면 생기는 일,공간 탐닉 Space Tamnik,13663,2.03,0.05,6077710,1884090,2025-10-09T12:01:44.000Z
65,집에서 덤벨 하나로 복근 코어 짱짱하게 만드는 루틴 #덤벨,아이템로그,13652,1.74,0.03,11456100,2596716,2025-10-07T07:42:46.000Z
66,집에서 덤벨 하나로 복근 코어 짱짱하게 만드는 루틴 #덤벨,아이템로그,13628,1.74,0.03,11436534,2592281,2025-10-07T07:42:46.000Z
67,매일 3분만 따라하면 30년 젊어져요!,박콩콩,13626,2.02,0.01,2062406,639346,2025-10-13T07:00:23.000Z
68,남매끼리 역대급 랜덤요리 게임 5탄ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],13585,3.46,0.02,1309164,1191339,2025-10-11T14:13:51.000Z
69,"""진짜 사람보다 낫다.."" 새끼들이 추워하자 어미개가 보인 놀라운 모성애",동물타임,13395,2.86,0.01,1267445,857638,2025-10-12T13:54:01.000Z
70,"버려진 호랑이, 곰들에게 당했습니다 ㄷㄷ",동킹,13055,2.38,0.03,1510468,1852841,2025-10-09T08:00:06.000Z
71,맥도날드에 고양이 손님,말랑이야기,13053,2.73,0.08,5441021,961247,2025-10-12T04:17:08.000Z
72,겁에 질려 케이지에 숨고는 혼자 북치고 장구치는 댕댕이,무이,12882,1.13,0.03,3334566,1756205,2025-10-09T13:35:35.000Z
73,비싼 오다리 이제 직접 해드세요!!,수부해TV subuhae,12201,1.74,0.06,796111,804072,2025-10-12T12:01:30.000Z
74,엄마.. 안가면 안돼..??? #shorts,뚜아뚜지TV,11534,1.35,0.02,1711724,1700313,2025-10-09T02:30:37.000Z
75,네???????????,지구썰이야기,11533,2.65,0.05,1451460,1417593,2025-10-10T03:00:49.000Z
76,네???????????,지구썰이야기,11279,2.66,0.05,1419476,1386355,2025-10-10T03:00:49.000Z
77,마트 지름길 막아버린 여자의 사연,깎고 다듬고,10334,1.47,0.02,1095977,924274,2025-10-11T12:29:12.000Z
78,'해외 유행 헤어'에 도전한 여돌들,김팩트,10123,1.88,0.04,1903995,1383570,2025-10-09T13:15:21.000Z
79,구하기 어렵다는 아이폰17 프로 맥스 스펙,스피드쇼쇼쇼,8915,2.71,0.02,3217499,2338049,2025-10-04T07:40:22.000Z
80,구하기 어렵다는 아이폰17 프로 맥스 스펙,스피드쇼쇼쇼,8905,2.71,0.02,3213703,2335291,2025-10-04T07:40:22.000Z
81,(중요)당장 내폰도 막으세요(꽂는 순간 싹털립니다),인생2회차,8148,2.65,0.02,4290169,2330992,2025-10-03T07:50:01.000Z
82,(중요)당장 내폰도 막으세요(꽂는 순간 싹털립니다),인생2회차,8140,2.65,0.02,4286037,2328747,2025-10-03T07:50:01.000Z
83,NC사장이 싫어하는 마우스ㅋㅋ,선물장인,6499,1.38,0.02,3470124,1711928,2025-10-04T06:30:21.000Z
84,NC사장이 싫어하는 마우스ㅋㅋ,선물장인,6489,1.38,0.02,3464842,1709322,2025-10-04T06:30:21.000Z
85,Người Cuối Cùng Còn Thử Thách SINH TỒN Trên BÃI BIỂN Sẽ Thắng 10 Triệu,Lâm Vlog,6392,1.61,0.06,32706,2729078,2025-09-27T11:00:11.000Z
86,Người Cuối Cùng Còn Thử Thách SINH TỒN Trên BÃI BIỂN Sẽ Thắng 10 Triệu,Lâm Vlog,6391,1.61,0.06,32699,2728497,2025-09-27T11:00:11.000Z
87,갤럭시로 비 오는 날 밤에 길거리 사진 예쁘게 찍는 법 #사진 #사진강좌 #사진잘찍는법 #갤럭시 #갤럭시꿀팁,주니웨어 주니,6182,4.13,0.03,4690034,1297576,2025-10-06T12:00:51.000Z
88,갤럭시로 비 오는 날 밤에 길거리 사진 예쁘게 찍는 법 #사진 #사진강좌 #사진잘찍는법 #갤럭시 #갤럭시꿀팁,주니웨어 주니,6176,4.12,0.03,4685751,1296391,2025-10-06T12:00:51.000Z
89,신입사원 VS N년차,이삼십,6050,5.9,0.04,96715,125085,2025-10-14T09:15:05.000Z
90,무선 이어폰 어서오고.. 고장난 젠하이저 모멘텀 트루 와이어리스 2,낮에,5340,2.65,0.3,295541,367456,2025-10-12T09:07:07.000Z
91,무선 이어폰 어서오고.. 고장난 젠하이저 모멘텀 트루 와이어리스 2,낮에,5115,2.7,0.3,283046,351920,2025-10-12T09:07:07.000Z
92,버튼 없이 중력으로 색을 바꾸는 펜의 정체,지름신 강림 일지,4107,1.95,0.03,2997417,1278898,2025-10-02T06:30:14.000Z
93,갤럭시 vs 아이폰 vs 샤오미,키득가득,3854,3.56,0.2,473529,446696,2025-10-10T10:01:00.000Z
94,갤럭시 vs 아이폰 vs 샤오미,키득가득,3827,3.57,0.2,470220,443574,2025-10-10T10:01:00.000Z
95,삼성폰에 한정판이 나온다면?!,쮸빠삐,3787,4.36,0.04,376837,173345,2025-10-13T08:09:13.000Z
96,아이폰17프로 + 갤럭시z폴드7 어떤걸 원해?,보겸s,3769,4.64,1.02,994690,888590,2025-10-05T10:10:23.000Z
97,삼성폰에 한정판이 나온다면?!,쮸빠삐,3763,4.34,0.04,374474,172258,2025-10-13T08:09:13.000Z
98,매출하락이 걱정되는 애플펜슬,방구석 친구들,3156,2.42,0.04,1594517,653752,2025-10-06T14:45:05.000Z
99,매출하락이 걱정되는 애플펜슬,방구석 친구들,3155,2.42,0.04,1594151,653602,2025-10-06T14:45:05.000Z
100,스피커폰으로 911끼리 통화시키기,빅토리,2920,8.61,0.09,259327,214377,2025-10-12T04:30:25.000Z
101,스피커폰으로 911끼리 통화시키기,빅토리,2900,8.61,0.09,257528,212890,2025-10-12T04:30:25.000Z
102,"Homebody in New York | All I want after traveling is a simple meal and TV, bridal beauty treatments!",Michelle Choi,2329,3.47,0.06,18676,233018,2025-10-11T01:52:11.000Z
103,"Homebody in New York | All I want after traveling is a simple meal and TV, bridal beauty treatments!",Michelle Choi,2307,3.48,0.06,18501,230836,2025-10-11T01:52:11.000Z
104,요즘 누가 핸드폰 뒤에 사진을 넣냐고?,그래서 누군데?,1850,0.89,0.02,1986201,582619,2025-10-02T03:00:40.000Z
105,"급찐급빠(-4.7kg)하는 직장인 브이로그 | 머리하는데 5시간 걸림, 식단빵 만들기 | 추석 연휴 전 일상",도민이,1508,2.34,0.95,4740,96437,2025-10-12T13:59:47.000Z
106,"급찐급빠(-4.7kg)하는 직장인 브이로그 | 머리하는데 5시간 걸림, 식단빵 만들기 | 추석 연휴 전 일상",도민이,1498,2.35,0.95,4709,95794,2025-10-12T13:59:47.000Z
107,일주일간 저의 의식주를 공개합니다~👚🍚🏡 다양하게 입어보는 꾸안꾸 가을룩북 그리고 배꼽성형상담••? 망원 합정 지박령 24살의 일상🎶 구독자 이벤트까지~ʢᵕᴗᵕʡ♥,유정 YUJEONG,503,1.37,0.3,7029,134213,2025-10-04T03:00:47.000Z
108,일주일간 저의 의식주를 공개합니다~👚🍚🏡 다양하게 입어보는 꾸안꾸 가을룩북 그리고 배꼽성형상담••? 망원 합정 지박령 24살의 일상🎶 구독자 이벤트까지~ʢᵕᴗᵕʡ♥,유정 YUJEONG,502,1.38,0.3,7022,134079,2025-10-04T03:00:47.000Z
109,흔한 20대 중후반이 생일을 보내는 법,연늘,497,2,0.24,3632,56883,2025-10-10T11:31:02.000Z
110,흔한 20대 중후반이 생일을 보내는 법,연늘,495,2,0.24,3614,56591,2025-10-10T11:31:02.000Z
111,"호주에서 절절한 이별하는 브이로그,,,,,🥹💦 요치 아이스크림🍦• 짬뽕, 탕수육 먹방 • 어그 쇼핑 • 브런치 카페 • 도서관 언어교환 밋업 • 알리오올리오🧄 • 눈물의 이별💧",콩빈Cong Been,479,2.25,0.11,5513,67041,2025-10-09T10:00:46.000Z
112,"호주에서 절절한 이별하는 브이로그,,,,,🥹💦 요치 아이스크림🍦• 짬뽕, 탕수육 먹방 • 어그 쇼핑 • 브런치 카페 • 도서관 언어교환 밋업 • 알리오올리오🧄 • 눈물의 이별💧",콩빈Cong Been,478,2.25,0.11,5501,66895,2025-10-09T10:00:46.000Z
113,해외로 워크샵 가는 회사 어떤데!! - 🌴세부 워크샵 1편,양띵의 사생활,411,2.23,0.17,7691,115822,2025-10-03T11:57:35.000Z
114,해외로 워크샵 가는 회사 어떤데!! - 🌴세부 워크샵 1편,양띵의 사생활,409,2.23,0.17,7651,115220,2025-10-03T11:57:35.000Z
115,"대학원생 일상 | 교수님 면담, 추석 KTX 예매, 오랜만에 혼술 🍺",유학일기 yooil,278,0,0.41,1509,38631,2025-10-09T10:54:01.000Z
116,"대학원생 일상 | 교수님 면담, 추석 KTX 예매, 오랜만에 혼술 🍺",유학일기 yooil,277,0,0.41,1504,38496,2025-10-09T10:54:01.000Z
117,28주 임산부의 2달 시댁 요양 브이로그 마지막 편 │ 케데헌에 미친 남편- 케데헌 썰풀이,WDG 저희 잘 지내요,177,5.47,0.28,1761,29216,2025-10-08T09:01:20.000Z
118,28주 임산부의 2달 시댁 요양 브이로그 마지막 편 │ 케데헌에 미친 남편- 케데헌 썰풀이,WDG 저희 잘 지내요,177,5.46,0.28,1762,29243,2025-10-08T09:01:20.000Z
